poseId, timestamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23, T30, T31, T32, T33
1669300749_12229888, 1669300749.012230, 0.825792, -0.563855, 0.011617, -1.618665, 0.563953, 0.825768, -0.008079, 0.256215, -0.005037, 0.013223, 0.999900, 0.816902, 0.000000, 0.000000, 0.000000, 1.000000
1669300754_12974848, 1669300754.012975, 0.831748, -0.555080, 0.008986, -0.638981, 0.555139, 0.831733, -0.006426, 0.046056, -0.003907, 0.010333, 0.999939, 0.804330, 0.000000, 0.000000, 0.000000, 1.000000
1669300760_113536768, 1669300760.113537, 0.837943, -0.545617, 0.012427, 0.440609, 0.545708, 0.837957, -0.005547, -0.190315, -0.007387, 0.011429, 0.999907, 0.781196, 0.000000, 0.000000, 0.000000, 1.000000
1669300761_313838592, 1669300761.313838, 0.839717, -0.542855, 0.013523, 1.472124, 0.542942, 0.839763, -0.003551, -0.428036, -0.009429, 0.010324, 0.999902, 0.769013, 0.000000, 0.000000, 0.000000, 1.000000
1669300767_213081344, 1669300767.213081, 0.842126, -0.539233, 0.007234, 2.494625, 0.539257, 0.842140, -0.001712, -0.669174, -0.005169, 0.005343, 0.999972, 0.748433, 0.000000, 0.000000, 0.000000, 1.000000
1669300768_313561088, 1669300768.313561, 0.840833, -0.541157, 0.012206, 3.483367, 0.541235, 0.840861, -0.004199, -0.901288, -0.007991, 0.010137, 0.999917, 0.731522, 0.000000, 0.000000, 0.000000, 1.000000
1669300773_814076672, 1669300773.814077, 0.839899, -0.542628, 0.011166, 4.491672, 0.542712, 0.839892, -0.006653, -1.135742, -0.005769, 0.011648, 0.999916, 0.712690, 0.000000, 0.000000, 0.000000, 1.000000
1669300775_314065152, 1669300775.314065, 0.840628, -0.541457, 0.012984, 5.521139, 0.541598, 0.840540, -0.012776, -1.377307, -0.003996, 0.017772, 0.999834, 0.699596, 0.000000, 0.000000, 0.000000, 1.000000
1669300782_913921536, 1669300782.913922, 0.827111, -0.562005, 0.006178, 6.517479, 0.562038, 0.827064, -0.008855, -1.593934, -0.000133, 0.010796, 0.999942, 0.679630, 0.000000, 0.000000, 0.000000, 1.000000
1669300784_413624576, 1669300784.413625, 0.766634, -0.641968, 0.012225, 7.574514, 0.642068, 0.766610, -0.007524, -1.783323, -0.004541, 0.013618, 0.999897, 0.665695, 0.000000, 0.000000, 0.000000, 1.000000
1669300785_913969152, 1669300785.913969, 0.782189, -0.622777, 0.018113, 8.616954, 0.622970, 0.782208, -0.007680, -1.906027, -0.009385, 0.017291, 0.999806, 0.644975, 0.000000, 0.000000, 0.000000, 1.000000
